球员名字,所属球队,场次,时间,投篮投中数,投篮出手数,投篮命中率,三分球投中数,三分球出手数,三分球命中率,罚篮投中数,罚篮出手数,罚篮命中率,篮板进攻,篮板防守,篮板总计,助攻,失误,抢断,盖帽,犯规,得分
萨博-塞弗洛萨,亚特兰大老鹰,44,25:50,3,6.6,45.7%,0.6,1.8,32.9%,1,1.3,77.2%,0.8,3.5,4.3,1.6,0.9,1.7,0.5,1.5,7.6
保罗-米尔萨普,亚特兰大老鹰,53,34:09,6.3,14.3,43.9%,1.2,3.7,32.7%,4.2,5.5,76.3%,1.7,6.2,7.9,3.8,2.2,1.5,1,2.7,17.9
肯特-巴泽摩尔,亚特兰大老鹰,54,27:26,4,10.1,39.8%,1.2,3.6,33.2%,1.6,2.3,71.5%,0.6,2.6,3.2,2.6,1.8,1.3,0.7,2.2,10.8
德怀特-霍华德,亚特兰大老鹰,51,29:29,5.3,8.2,64.4%,0,0,0%,3,5.4,55.3%,4.3,8.7,13,1.2,2.1,0.9,1.2,2.9,13.5
丹尼斯-施劳德,亚特兰大老鹰,56,30:51,6.7,14.7,45.8%,1.2,3.6,34.5%,2.8,3.4,83.2%,0.5,2.4,2.9,6.3,3.1,0.8,0.1,1.7,17.5
厄尔森-伊亚索瓦,亚特兰大老鹰,56,26:56,5.2,11.9,43.8%,2,5.5,35.5%,1.9,2.5,76.8%,1.3,4.6,5.9,1.8,1.5,0.6,0.3,2.5,14.3
蒂姆-哈达威二世,亚特兰大老鹰,54,25:03,4.8,10.8,44.6%,1.8,5.1,34.9%,1.7,2.3,72%,0.3,2.2,2.5,2.2,1.1,0.6,0.2,1.2,13.1
马尔科姆-迪兰尼,亚特兰大老鹰,56,17:41,2.2,5.7,39%,0.4,1.6,25.8%,1.1,1.3,81.1%,0.1,1.6,1.8,2.7,1.4,0.6,0,1.6,5.9
迈克-穆斯卡拉,亚特兰大老鹰,50,19:40,2.8,5.5,51.3%,0.7,1.7,42.4%,0.8,1.1,77.8%,1.2,2.5,3.7,1.3,0.9,0.5,0.6,1.6,7.2
迈克-邓利维,亚特兰大老鹰,41,16:03,1.8,4.2,42.4%,1,2.6,38.9%,0.6,0.7,76.7%,0.3,1.9,2.2,0.9,0.6,0.3,0.1,1.3,5.1
克里斯-亨弗里斯,亚特兰大老鹰,44,11:52,1.6,3.6,44.4%,0.3,0.9,36.6%,1.1,1.4,79%,1,2.4,3.4,0.5,0.5,0.2,0.4,1.3,4.7
马库斯-斯玛特,波士顿凯尔特人,54,31:04,3.5,9.3,37.5%,1.3,4.1,30.9%,2.1,2.8,77.3%,0.9,2.9,3.9,4.6,2.1,1.7,0.4,2.3,10.4
杰-克劳德,波士顿凯尔特人,47,32:26,4.7,10,46.9%,2.3,5.6,40.5%,2.2,2.5,86.6%,0.6,4.6,5.2,2.1,1,1.1,0.3,2.3,13.8
以赛亚-托马斯,波士顿凯尔特人,53,34:31,9.3,19.9,46.7%,3.2,8.4,38.7%,8.1,8.8,91.2%,0.5,2.1,2.7,6.3,2.6,0.8,0.1,2.2,29.9
艾尔-霍福德,波士顿凯尔特人,45,32:54,5.8,12.6,45.6%,1.5,4.3,35.1%,1.6,2,80.7%,1.3,5.3,6.6,4.9,1.7,0.7,1.5,2.2,14.6
